timestamp,user_id,paper_id,action_type
2025-04-04 15:29:54,2,2617,like
2025-04-04 15:29:55,2,2353,like
2025-04-04 15:30:03,2,1730,dislike
2025-04-04 15:30:03,2,3362,dislike
2025-04-04 16:10:39,2,2617,dislike
2025-04-04 16:10:53,2,2353,dislike
2025-04-04 16:11:25,2,2617,dislike
2025-04-04 16:11:55,1,2617,dislike
2025-04-04 16:23:08,1,2617,dislike
2025-04-04 16:23:08,1,2353,like
2025-04-04 16:23:52,1,2617,like
2025-04-04 16:23:53,1,2353,like
2025-04-04 16:23:53,1,1730,like
2025-04-04 16:23:54,1,3362,like
2025-04-04 16:23:55,1,1145,like
2025-04-04 16:28:06,1,2617,like
2025-04-04 16:28:06,1,2353,dislike
2025-04-04 16:28:07,1,1730,dislike
2025-04-04 17:21:16,4,2617,dislike
2025-04-04 17:21:21,4,3362,dislike
2025-04-04 17:21:22,4,1145,dislike
2025-04-04 17:21:25,4,1730,like
2025-04-04 17:21:34,4,2869,dislike
2025-04-04 17:21:50,4,2353,dislike
2025-04-04 17:21:51,4,1261,like
2025-04-04 17:22:04,4,2126,dislike
2025-04-04 17:22:06,4,2890,like
2025-04-04 17:55:12,2,2617,dislike
2025-04-04 17:55:15,4,2617,like
2025-04-04 17:55:23,2,2353,dislike
2025-04-04 17:55:25,4,1730,dislike
2025-04-05 11:34:37,1,760,like
2025-04-05 11:34:50,1,576,dislike
2025-04-05 11:39:42,1,760,like
2025-04-05 11:41:00,1,760,like
2025-04-05 11:45:01,2,576,dislike
2025-04-05 11:45:03,2,1730,dislike
2025-04-05 11:52:01,2,760,dislike
2025-04-05 11:52:08,2,1730,like
2025-04-05 11:52:12,2,2213,like
2025-04-05 11:52:21,2,576,like
2025-04-05 11:55:27,2,760,dislike
2025-04-05 11:55:31,2,976,dislike
2025-04-05 11:55:32,2,576,dislike
2025-04-05 11:55:33,2,1730,dislike
2025-04-05 11:55:38,2,760,dislike
2025-04-05 11:55:41,2,760,dislike
2025-04-05 11:55:45,2,760,dislike
2025-04-05 11:55:49,2,760,dislike
2025-04-05 11:55:53,2,760,dislike
2025-04-05 11:55:57,2,760,dislike
2025-04-05 11:55:59,2,576,dislike
2025-04-05 11:56:00,2,1730,dislike
2025-04-05 11:56:03,2,760,dislike
2025-04-05 11:56:09,2,576,dislike
2025-04-05 11:56:14,2,760,dislike
2025-04-05 11:58:43,2,760,dislike
2025-04-05 11:58:45,2,576,dislike
2025-04-05 11:58:46,2,1730,dislike
2025-04-05 11:58:47,2,976,dislike
2025-04-05 11:58:49,2,2213,like
2025-04-05 11:58:51,2,1372,dislike
2025-04-05 11:58:57,2,760,dislike
2025-04-05 11:58:58,2,576,dislike
2025-04-05 11:58:59,2,1730,dislike
2025-04-05 11:59:01,2,976,dislike
2025-04-05 11:59:03,2,2213,like
2025-04-05 11:59:07,2,760,dislike
2025-04-05 11:59:09,2,576,dislike
2025-04-05 11:59:10,2,1730,dislike
2025-04-05 11:59:11,2,976,dislike
2025-04-05 11:59:13,2,2213,like
2025-04-05 11:59:17,2,760,dislike
2025-04-05 11:59:19,2,976,dislike
2025-04-05 11:59:22,2,2213,like
2025-04-05 12:00:20,2,760,dislike
2025-04-05 12:00:21,2,576,dislike
2025-04-05 12:00:23,2,1730,dislike
2025-04-05 12:01:16,2,1730,dislike
2025-04-05 12:01:17,2,976,dislike
2025-04-05 12:01:19,2,2213,like
2025-04-05 12:02:14,2,760,dislike
2025-04-05 12:02:15,2,976,dislike
2025-04-05 12:02:17,2,2213,like
2025-04-05 12:04:42,2,760,dislike
2025-04-05 12:04:43,2,576,dislike
2025-04-05 12:04:45,2,2213,like
2025-04-05 12:04:52,2,1372,like
2025-04-05 12:04:53,2,1763,like
2025-04-05 12:04:59,2,976,dislike
2025-04-05 12:05:00,2,1506,dislike
2025-04-05 12:05:02,2,2422,like
2025-04-05 12:05:14,2,576,like
2025-04-05 12:05:22,2,976,like
2025-04-05 12:05:27,2,760,dislike
2025-04-05 12:05:29,2,1730,dislike
2025-04-05 12:05:30,2,2213,like
2025-04-05 12:06:16,2,760,dislike
2025-04-05 12:06:17,2,576,dislike
2025-04-05 12:06:18,2,1730,dislike
2025-04-05 12:06:21,2,976,dislike
2025-04-05 12:06:22,2,2213,like
2025-04-05 22:12:22,2,760,dislike
2025-04-05 22:12:23,2,576,dislike
2025-04-05 22:12:24,2,1730,dislike
2025-04-05 22:12:24,2,976,dislike
2025-04-05 22:12:25,2,2213,like
